series,name,freq,block_g,block_s,block_r,block_l,months_lag
GDP,PIB Índices de Volumen Encadenados Año de Referencia 2014 desestacionalizadoTotal,q,1,1,0,0,3
GDP_AG,PIBÍndices de Volumen Encadenados Año de Referencia 2014 desestacionalizado Agricultura Ganadería Silvicultura y Pesca,q,1,1,0,0,3
GDP_EM,PIBÍndices de Volumen Encadenados Año de Referencia 2014 desestacionalizado Explotación de Minas y Canteras,q,1,1,0,0,3
GDP_IN,PIBÍndices de Volumen Encadenados Año de Referencia 2014 desestacionalizado Industrias Manufactureras,q,1,1,0,0,3
GDP_EG,PIBÍndices de Volumen Encadenados Año de Referencia 2014 desestacionalizado Suministro de Electricidad Gas Vapor y Aire Acondicionado,q,1,1,0,0,3
GDP_AA,PIBÍndices de Volumen Encadenados Año de Referencia 2014 desestacionalizado Suministro de Agua Alcantarillados y Gestión de Desechos,q,1,1,0,0,3
GDP_CO,PIBÍndices de Volumen Encadenados Año de Referencia 2014 desestacionalizado Construcción,q,1,1,0,0,3
GDP_CP,PIBÍndices de Volumen Encadenados Año de Referencia 2014 desestacionalizado Comercio al por Mayor y al por Menor Reparación de Vehículos Automotores y Motocicletas,q,1,1,0,0,3
GDP_TA,PIBÍndices de Volumen Encadenados Año de Referencia 2014 desestacionalizado Transporte y Almacenamiento,q,1,1,0,0,3
GDP_AS,PIBÍndices de Volumen Encadenados Año de Referencia 2014 desestacionalizado Actividades de Alojamiento y de Servicio de Comidas,q,1,1,0,0,3
GDP_IC,PIBÍndices de Volumen Encadenados Año de Referencia 2014 desestacionalizado Información y Comunicaciones,q,1,1,0,0,3
GDP_FS,PIBÍndices de Volumen Encadenados Año de Referencia 2014 desestacionalizado Actividades Financieras y de Seguros,q,1,1,0,0,3
GDP_AI,PIBÍndices de Volumen Encadenados Año de Referencia 2014 desestacionalizado Actividades Inmobiliarias,q,1,1,0,0,3
GDP_AP,PIBÍndices de Volumen Encadenados Año de Referencia 2014 desestacionalizado Actividades Profesionales Científicas y Técnicas,q,1,1,0,0,3
GDP_SA,PIBÍndices de Volumen Encadenados Año de Referencia 2014 desestacionalizado Actividades de Servicios Administrativos y de Apoyo,q,1,1,0,0,3
GDP_PD,PIBÍndices de Volumen Encadenados Año de Referencia 2014 desestacionalizado Administración Pública y Defensa Planes de Seguridad Social de Afiliación Obligatoria,q,1,1,0,0,3
GDP_EN,PIBÍndices de Volumen Encadenados Año de Referencia 2014 desestacionalizado Enseñanza,q,1,1,0,0,3
GDP_SH,PIBÍndices de Volumen Encadenados Año de Referencia 2014 desestacionalizado Actividades de Atención de la Salud Humana y de Asistencia Social,q,1,1,0,0,3
GDP_AE,PIBÍndices de Volumen Encadenados Año de Referencia 2014 desestacionalizado Actividades Artísticas de Entretenimiento y Recreativas,q,1,1,0,0,3
GDP_OA,PIBÍndices de Volumen Encadenados Año de Referencia 2014 desestacionalizado Otras Actividades de Servicios 1/,q,1,1,0,0,3
CE_TOT_VV,FUSADES  Confianza Empresarial  Todos los sectores  Volumen de Ventas,m,1,1,0,0,1
CE_TOT_VI,FUSADES  Confianza Empresarial  Todos los sectores  Volumen de Inversiones,m,1,1,0,0,1
CE_IND_VV,FUSADES  Confianza Empresarial  Industria  Volumen de Ventas,m,1,1,0,0,1
CE_IND_VI,FUSADES  Confianza Empresarial  Industria  Volumen de Inversiones,m,1,1,0,0,1
CE_CON_AG,FUSADES  Confianza Empresarial  Construccion  Actividad goblal,m,1,1,0,0,1
CE_CON_VI,FUSADES  Confianza Empresarial  Construccion  Volumen de Inversiones,m,1,1,0,0,1
CE_COM_VV,FUSADES  Confianza Empresarial  Comercio  Volumen de Ventas,m,1,1,0,0,1
CE_COM_VI,FUSADES  Confianza Empresarial  Comercio  Volumen de Inversiones,m,1,1,0,0,1
CE_SER_VV,FUSADES  Confianza Empresarial  Servicios  Volumen de Ventas,m,1,1,0,0,1
CE_SER_VI,FUSADES  Confianza Empresarial  Servicios  Volumen de Inversiones,m,1,1,0,0,1
IPI,BCR Índice de Producción Industrial. Serie Desestacionalizada,m,1,1,0,0,1
IVAE_TOT,"IVAE_TotalÍndice de Volumen de la Actividad Económica IVAE. Serie Desestacionalizada
Índices de Volumen Encadenados",m,1,1,0,0,1
